Date,Open,High,Low,Close,Volume,Variation,Percentual Variation,RSI,Stochastic_oscillator,OBV,ATR,EMA_14,EMA_12,EMA_26,MACD,Signal_MACD,Money_flow,Chaikin,0
2023-02-06,6.985623,7.04471,6.801389,6.832168,216553530,-0.15345500000000012,-2.196726047197224,43.86298387139424,0.3020141208258059,2759298239,0.019190944024800514,7.023067410870545,7.041709040586696,6.823797988776182,-0.21791105181051407,-0.28699436013553253,-161767456.460355,-341540968.1402688,7.198653
2023-02-07,6.832104,7.203533,6.827385,7.198653,265944829,0.366549,5.365096901335225,47.65690466827047,0.6949579967083575,3025243068,0.02823849600177151,7.046478822754472,7.0658542651118195,6.851565026644613,-0.21428923846720682,-0.27245333580186737,259044296.41431564,-337850204.53557503,7.121416
2023-02-08,7.198793,7.264943,6.998037,7.121416,307753754,-0.07737700000000025,-1.0748607440163962,53.171817784470974,0.612144767949907,2717489314,0.021081749714412228,7.056470446387209,7.074402224325386,6.8715539876339005,-0.20284823669148544,-0.258532315979791,-23231484.626017988,-325041971.43285966,6.983141
2023-02-09,7.122514,7.750366,6.910068,6.983141,1103183457,-0.13937299999999997,-1.9567950305187183,53.90310465188518,0.35613661883324876,1614305857,0.061527124979600854,7.046693186868914,7.060362035967634,6.879819692253611,-0.18054234371402256,-0.2429343215266373,-911315989.1413095,-299022478.71705484,6.902424
2023-02-10,6.983057,7.079967,6.843377,6.902424,451207831,-0.08063299999999973,-1.1546948564217612,54.47623907401966,0.18763550313998412,1163098026,0.021294080355685748,7.027457295286393,7.036063876587998,6.881494085420011,-0.15456979116798752,-0.22526141545490735,-225987248.58267996,-393437725.9919828,7.006326
2023-02-11,6.902574,7.024776,6.872812,7.006326,202145744,0.10375199999999918,1.503091455448347,56.32560367968537,0.2871780378330989,1365243770,0.0123755771682633,7.024639789248207,7.031488818651383,6.8907408939074175,-0.14074792474396514,-0.2083587173127189,153060579.39785615,-425660474.42633855,6.807924
2023-02-12,7.006134,7.057351,6.747716,6.807924,241644536,-0.19821000000000044,-2.8290923353735518,54.0481617743311,0.09710048429049731,1123599234,0.023000755512018817,6.995744350681779,6.997094231166555,6.8846063091735346,-0.11248792199302038,-0.1891845582487792,-147669796.55847654,-392882709.8975014,6.67166
2023-02-13,6.807576,6.83133,6.476462,6.67166,357135687,-0.13591599999999993,-1.9965403250731235,53.91841045246491,-0.03344622267782482,766463547,0.026990625393715672,6.952533103924209,6.9470274263717,6.868832508494013,-0.07819491787768662,-0.16698663017456067,35755031.97734385,-388999997.9867134,6.80643
2023-02-14,6.671267,6.816851,6.558812,6.80643,280517342,0.13516299999999948,2.026046926318486,59.694237494095056,0.2590210879312727,1046980889,0.020359258956693986,6.9330526900676475,6.9253970530837465,6.86421010045742,-0.06118695262632645,-0.14582669466491383,257859749.76795754,-378562180.57621807,7.270599
2023-02-15,6.806296,7.285592,6.739753,7.270599,340072775,0.46430300000000013,6.8216692309591025,61.924183800501545,0.6233884185935519,1387053664,0.040442732782621,6.978058864725295,6.978505044917016,6.894312981905019,-0.08419206301199722,-0.1334997683343305,321390668.6808284,-350664205.3391524,7.028155
2023-02-16,7.270509,7.451087,7.024788,7.028155,518185252,-0.24235399999999974,-3.3333842238555755,66.04282022806265,0.4330726648161873,868868412,0.03333869519875866,6.984738349428588,6.986143499545167,6.90422720546761,-0.08191629407755752,-0.1231830734829759,-509999777.75078076,-344780305.2399472,7.666772
2023-02-17,7.027319,7.671969,6.995804,7.666772,715233660,0.6394529999999996,9.099529991451927,63.7957959283592,0.9343796706816214,1584102072,0.050678835371339916,7.075676169504777,7.090855576538218,6.960712005062602,-0.1301435714756165,-0.12457517308150402,704239097.0426748,-386417537.0101258,8.008314
2023-02-18,7.665935,8.217248,7.526206,8.008314,844845498,0.3423790000000002,4.466239278052843,70.41689943456976,1.2024862156018041,2428947570,0.05298005966938139,7.2000278802374735,7.2320030263015695,7.038312152835743,-0.19369087346582692,-0.1383983131583686,333973657.2750324,-378544348.25203806,7.996887
2023-02-19,8.007543,8.242553,7.857913,7.996887,595712725,-0.010655999999999999,-0.13307452735502012,68.38958619611404,0.873412929561704,1833234845,0.031258575690670046,7.3062757628724775,7.349677483793636,7.109317697070132,-0.2403597867235039,-0.15879060787139565,-165239658.0067062,-383406066.54771316,8.006446
2023-02-20,8.002281,8.338233,7.808294,8.006446,541991760,0.004165000000000418,0.052047659910973106,72.68079217513683,0.8663109658562335,2375226605,0.04008554112076219,7.399631794489481,7.450718793979231,7.175771645435308,-0.274947148543923,-0.18202191600590112,-136674350.9113311,-413190649.89990455,7.636674
2023-02-21,8.00726,8.059,7.54864,7.636674,407354867,-0.3705860000000003,-4.628124976583754,70.15595223441346,0.623176534600657,1967871738,0.03931753865148298,7.431237421890883,7.479327287213195,7.209912560588248,-0.26941472662494714,-0.19950047812971033,-266822386.5490313,-420001667.7157717,7.708319
2023-02-22,7.636991,7.710072,7.334482,7.708319,453992830,0.07132800000000028,0.9339804119187816,65.13469869913678,0.6616587109800293,2421864568,0.029636252760820204,7.468181632305432,7.514556781488088,7.246831556100229,-0.26772522538785903,-0.21314542758134009,449754967.2720789,-439294364.62365407,7.936591
2023-02-23,7.708202,8.156233,7.680719,7.936591,637551320,0.22838899999999995,2.962934806327078,60.83552942811202,0.7842688493912514,3059415888,0.036082160911487186,7.530636214664708,7.579485122797613,7.297924848240953,-0.2815602745566599,-0.22682839697640406,48575823.89498485,-437354246.5789257,7.455675
