Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,0.076402,0.076650,0.075161,0.075282,0.075282,194967702
2023-06-01,0.075274,0.075422,0.074280,0.074773,0.074773,162975054
2023-06-02,0.074774,0.083344,0.074695,0.082754,0.082754,339773520
2023-06-03,0.082755,0.085618,0.081194,0.081834,0.081834,531303825
2023-06-04,0.081830,0.082485,0.080326,0.081478,0.081478,264302975
2023-06-05,0.081479,0.081775,0.077540,0.078347,0.078347,256099265
2023-06-06,0.078347,0.079165,0.077531,0.078234,0.078234,244259894
2023-06-07,0.078230,0.078808,0.076411,0.076741,0.076741,218146752
2023-06-08,0.076742,0.077959,0.076245,0.077495,0.077495,160011052
2023-06-09,0.077498,0.078332,0.071415,0.071984,0.071984,303441320
2023-06-10,0.071990,0.072004,0.065277,0.069601,0.069601,395427317
2023-06-11,0.069604,0.070577,0.068539,0.070177,0.070177,157686552
2023-06-12,0.070175,0.071205,0.069401,0.071033,0.071033,156857411
2023-06-13,0.071040,0.072567,0.071040,0.071919,0.071919,178497059
2023-06-14,0.071919,0.072754,0.070210,0.070965,0.070965,166316972
2023-06-15,0.070969,0.071974,0.069402,0.070951,0.070951,196317063
2023-06-16,0.070949,0.071148,0.069102,0.070515,0.070515,176525558
2023-06-17,0.070517,0.071669,0.070372,0.071592,0.071592,133558906
2023-06-18,0.071591,0.071977,0.069865,0.070121,0.070121,147583377
2023-06-19,0.070121,0.070270,0.069578,0.069969,0.069969,142064691
2023-06-20,0.069969,0.070601,0.068219,0.070591,0.070591,198690663
2023-06-21,0.070588,0.072650,0.070404,0.072384,0.072384,230525361
2023-06-22,0.072380,0.074032,0.071577,0.071936,0.071936,189639822
2023-06-23,0.071948,0.073589,0.071608,0.073152,0.073152,176505028
2023-06-24,0.073154,0.073413,0.071695,0.072247,0.072247,147193406
2023-06-25,0.072248,0.073638,0.072148,0.073204,0.073204,144466984
2023-06-26,0.073202,0.074580,0.072458,0.073773,0.073773,173527560
2023-06-27,0.073776,0.075333,0.073776,0.074413,0.074413,150660903
2023-06-28,0.074417,0.074498,0.072867,0.073744,0.073744,155067955
2023-06-29,0.073741,0.074733,0.073499,0.074447,0.074447,146670527
2023-06-30,0.074443,0.076740,0.074307,0.076205,0.076205,229107503
2023-07-01,0.076210,0.077665,0.076116,0.077213,0.077213,157022109
2023-07-02,0.077214,0.077313,0.075477,0.075986,0.075986,143086068
2023-07-03,0.075984,0.077817,0.075851,0.077340,0.077340,150965021
2023-07-04,0.077343,0.078333,0.077070,0.077070,0.077070,150713422
2023-07-05,0.077076,0.077885,0.076693,0.077072,0.077072,154386341
2023-07-06,0.077071,0.078532,0.076994,0.077195,0.077195,168248868
2023-07-07,0.077186,0.079484,0.076922,0.078791,0.078791,164509056
2023-07-08,0.078788,0.080052,0.078736,0.080052,0.080052,138044936
2023-07-09,0.080047,0.080389,0.077470,0.077534,0.077534,151299430
2023-07-10,0.077535,0.077983,0.076440,0.077587,0.077587,171564500
2023-07-11,0.077587,0.077587,0.076849,0.077349,0.077349,133545108
2023-07-12,0.077349,0.078080,0.077195,0.077851,0.077851,133008012
2023-07-13,0.077848,0.082021,0.077746,0.081643,0.081643,234522385
2023-07-14,0.081646,0.082223,0.079085,0.079876,0.079876,220444579
2023-07-15,0.079873,0.081547,0.079873,0.080843,0.080843,181355334
2023-07-16,0.080839,0.080940,0.079247,0.079819,0.079819,150273704
2023-07-17,0.079818,0.080485,0.079086,0.079959,0.079959,158031688
2023-07-18,0.079955,0.080885,0.079204,0.079779,0.079779,154140875
2023-07-19,0.079778,0.080405,0.079384,0.080273,0.080273,161844857
2023-07-20,0.080271,0.080937,0.079384,0.080684,0.080684,175730416
2023-07-21,0.080687,0.081461,0.080518,0.080562,0.080562,165162652
2023-07-22,0.080558,0.093174,0.080351,0.083816,0.083816,832082013
2023-07-23,0.083835,0.084893,0.082956,0.083363,0.083363,247135687
2023-07-24,0.083359,0.083366,0.080601,0.081482,0.081482,225684366
2023-07-25,0.081485,0.082092,0.080429,0.081889,0.081889,216618949
2023-07-26,0.081892,0.082509,0.080646,0.082346,0.082346,228353399
2023-07-27,0.082348,0.082959,0.082121,0.082553,0.082553,206082067
2023-07-28,0.082554,0.085312,0.082554,0.085212,0.085212,233743862
2023-07-29,0.085195,0.085266,0.083146,0.083282,0.083282,179457761
2023-07-30,0.083282,0.083647,0.079485,0.080026,0.080026,233497363
2023-07-31,0.080028,0.080279,0.077602,0.077977,0.077977,252431660
2023-08-01,0.077977,0.078594,0.077044,0.078594,0.078594,219695489
2023-08-02,0.078578,0.078647,0.076413,0.076455,0.076455,207829852
2023-08-03,0.076455,0.077421,0.076246,0.077096,0.077096,176736320
2023-08-04,0.077096,0.077776,0.076322,0.076704,0.076704,167917309
2023-08-05,0.076706,0.077513,0.075926,0.077383,0.077383,177803134
2023-08-06,0.077387,0.077479,0.076626,0.076848,0.076848,143000099
2023-08-07,0.076848,0.077109,0.076114,0.076743,0.076743,176365013
2023-08-08,0.076742,0.077099,0.076215,0.076792,0.076792,180371011
2023-08-09,0.076797,0.077020,0.076215,0.076712,0.076712,194821881
2023-08-10,0.076714,0.077476,0.076684,0.077255,0.077255,157176421
2023-08-11,0.077254,0.077366,0.076843,0.077156,0.077156,147827385
2023-08-12,0.077156,0.077494,0.077150,0.077449,0.077449,127324265
2023-08-13,0.077452,0.077578,0.077001,0.077108,0.077108,144796321
2023-08-14,0.077112,0.077539,0.077034,0.077435,0.077435,170411109
2023-08-15,0.077434,0.077439,0.076271,0.076277,0.076277,162346285
2023-08-16,0.076279,0.076645,0.074389,0.074601,0.074601,206757605
2023-08-17,0.074595,0.075347,0.072062,0.072742,0.072742,293806022
2023-08-18,0.072737,0.073398,0.072068,0.072999,0.072999,214674143
2023-08-19,0.073002,0.074165,0.072972,0.074076,0.074076,140745870
2023-08-20,0.074076,0.076241,0.074074,0.075902,0.075902,156526807
2023-08-21,0.075904,0.076176,0.074258,0.075123,0.075123,182098796
2023-08-22,0.075118,0.075493,0.074440,0.075431,0.075431,163227059
2023-08-23,0.075429,0.077803,0.075426,0.077598,0.077598,192175125
2023-08-24,0.077598,0.077903,0.076265,0.076541,0.076541,167432407
2023-08-25,0.076554,0.077317,0.076311,0.077202,0.077202,174447305
2023-08-26,0.077202,0.077551,0.077164,0.077432,0.077432,122098369
2023-08-27,0.077430,0.077536,0.077186,0.077515,0.077515,115622858
2023-08-28,0.077515,0.077525,0.076292,0.076383,0.076383,146293864
2023-08-29,0.076381,0.077989,0.075926,0.077333,0.077333,205229425
2023-08-30,0.077335,0.077341,0.075488,0.075627,0.075627,176403792
2023-08-31,0.075634,0.076888,0.075317,0.076714,0.076714,184954077
2023-09-01,0.076714,0.077424,0.075806,0.076093,0.076093,188298937
2023-09-02,0.076093,0.077147,0.076021,0.077032,0.077032,129054735
2023-09-03,0.077033,0.077094,0.076705,0.077041,0.077041,107374126
2023-09-04,0.077039,0.077455,0.076743,0.077430,0.077430,142347287
2023-09-05,0.077433,0.077715,0.077106,0.077418,0.077418,137744760
2023-09-06,0.077422,0.078861,0.077365,0.078860,0.078860,191576576
2023-09-07,0.078863,0.079294,0.078709,0.079041,0.079041,156830179
2023-09-08,0.079051,0.079447,0.078364,0.079125,0.079125,128452654
2023-09-09,0.079122,0.079176,0.078731,0.079149,0.079149,95346936
2023-09-10,0.079151,0.079151,0.077873,0.078328,0.078328,118374750
2023-09-11,0.078327,0.078781,0.077101,0.077505,0.077505,167213713
2023-09-12,0.077507,0.082342,0.077468,0.080784,0.080784,294848591
2023-09-13,0.080793,0.081362,0.080351,0.081183,0.081183,182359085
2023-09-14,0.081184,0.083914,0.081111,0.083694,0.083694,214594731
2023-09-15,0.083698,0.084127,0.083061,0.084041,0.084041,199026196
2023-09-16,0.084039,0.084448,0.083384,0.083519,0.083519,144840486
2023-09-17,0.083518,0.083827,0.083174,0.083380,0.083380,131356022
2023-09-18,0.083379,0.084791,0.083160,0.084045,0.084045,179583234
2023-09-19,0.084034,0.084837,0.083814,0.084588,0.084588,156849702
2023-09-20,0.084589,0.085005,0.084242,0.084509,0.084509,147910377
2023-09-21,0.084507,0.084729,0.082922,0.083072,0.083072,211943139
2023-09-22,0.083071,0.084191,0.082943,0.083373,0.083373,159466757
2023-09-23,0.083368,0.083882,0.083276,0.083635,0.083635,116509236
2023-09-24,0.083637,0.084445,0.083528,0.083612,0.083612,116463706
2023-09-25,0.083613,0.084626,0.083371,0.084608,0.084608,157124183
2023-09-26,0.084607,0.084912,0.084258,0.084648,0.084648,144903897
2023-09-27,0.084663,0.085930,0.084659,0.085415,0.085415,166632347
2023-09-28,0.085417,0.086744,0.084472,0.086724,0.086724,169612028
2023-09-29,0.086746,0.089775,0.086723,0.089140,0.089140,229860537
2023-09-30,0.089143,0.089305,0.088482,0.088684,0.088684,124895442
2023-10-01,0.088679,0.090315,0.088098,0.090118,0.090118,150130603
2023-10-02,0.090114,0.090290,0.087430,0.087566,0.087566,197202684
2023-10-03,0.087558,0.090858,0.087417,0.090858,0.090858,219892593
2023-10-04,0.090867,0.090867,0.088308,0.088999,0.088999,209971945
2023-10-05,0.089000,0.089487,0.088242,0.088276,0.088276,164533914
2023-10-06,0.088274,0.088901,0.085493,0.087266,0.087266,237318251
2023-10-07,0.087265,0.088405,0.087244,0.088129,0.088129,137050862
2023-10-08,0.088134,0.088401,0.087572,0.088024,0.088024,102573431
2023-10-09,0.088023,0.088284,0.085668,0.086199,0.086199,165266430
2023-10-10,0.086202,0.086657,0.086096,0.086275,0.086275,133973983
2023-10-11,0.086273,0.086531,0.085692,0.086026,0.086026,170578364
2023-10-12,0.086025,0.086499,0.084827,0.084867,0.084867,144336437
2023-10-13,0.084865,0.085722,0.084796,0.085481,0.085481,129011198
2023-10-14,0.085479,0.085715,0.085054,0.085059,0.085059,113893539
2023-10-15,0.085061,0.086711,0.084871,0.086683,0.086683,185613393
2023-10-16,0.086684,0.089194,0.086643,0.088914,0.088914,239895827
2023-10-17,0.088913,0.088916,0.087726,0.088564,0.088564,170690298
2023-10-18,0.088570,0.089457,0.088508,0.089213,0.089213,182808917
2023-10-19,0.089210,0.089973,0.088553,0.089969,0.089969,176537551
2023-10-20,0.089968,0.092036,0.089962,0.090761,0.090761,227444174
2023-10-21,0.090764,0.091822,0.090650,0.091599,0.091599,175563451
2023-10-22,0.091602,0.091891,0.089821,0.090381,0.090381,174571243
2023-10-23,0.090394,0.092830,0.090165,0.092238,0.092238,301555123
2023-10-24,0.092226,0.093876,0.091970,0.092353,0.092353,329845514
2023-10-25,0.092361,0.094075,0.092361,0.093490,0.093490,226287820
2023-10-26,0.093494,0.093757,0.092093,0.092842,0.092842,206472961
2023-10-27,0.092845,0.093952,0.092687,0.093628,0.093628,186299988
2023-10-28,0.093625,0.094599,0.093378,0.094332,0.094332,159783858
2023-10-29,0.094329,0.095163,0.094247,0.094879,0.094879,142054658
2023-10-30,0.094876,0.095637,0.094159,0.095611,0.095611,186783744
2023-10-31,0.095613,0.097173,0.095610,0.097173,0.097173,264955245
2023-11-01,0.097167,0.100500,0.097018,0.100256,0.100256,355168812
2023-11-02,0.100255,0.100953,0.098726,0.099295,0.099295,248476068
2023-11-03,0.099291,0.099291,0.097249,0.097313,0.097313,219639698
2023-11-04,0.097320,0.098194,0.097079,0.097778,0.097778,164825258
2023-11-05,0.097765,0.099017,0.097503,0.098220,0.098220,165027505
2023-11-06,0.098220,0.099029,0.096710,0.097722,0.097722,214742277
2023-11-07,0.097721,0.097877,0.096068,0.096671,0.096671,221778811
2023-11-08,0.096671,0.098608,0.096463,0.098412,0.098412,206131116
2023-11-09,0.098408,0.100798,0.097487,0.098903,0.098903,337814624
2023-11-10,0.098906,0.111519,0.098906,0.106238,0.106238,776939025
2023-11-11,0.106235,0.108902,0.105080,0.107989,0.107989,261955668
2023-11-12,0.107988,0.108835,0.106599,0.108411,0.108411,222855732
2023-11-13,0.108418,0.110593,0.107152,0.107152,0.107152,296261795
2023-11-14,0.107145,0.107145,0.102174,0.102275,0.102275,313182455
2023-11-15,0.102278,0.104671,0.102275,0.104105,0.104105,303520303
2023-11-16,0.104108,0.104706,0.101636,0.102396,0.102396,263886939
2023-11-17,0.102405,0.103887,0.101975,0.103674,0.103674,231161206
2023-11-18,0.103674,0.103724,0.101577,0.103006,0.103006,192057426
2023-11-19,0.103008,0.103866,0.101972,0.103499,0.103499,177524933
2023-11-20,0.103503,0.105032,0.101076,0.101121,0.101121,254396121
2023-11-21,0.101111,0.102001,0.095997,0.096246,0.096246,329930004
2023-11-22,0.096256,0.101871,0.096129,0.101237,0.101237,359844115
2023-11-23,0.101231,0.102153,0.100989,0.102084,0.102084,188298352
2023-11-24,0.102081,0.105278,0.102080,0.104721,0.104721,329356342
2023-11-25,0.104720,0.108824,0.104626,0.108811,0.108811,298382396
2023-11-26,0.108816,0.109884,0.107272,0.107854,0.107854,231468428
2023-11-27,0.107843,0.107930,0.102031,0.102099,0.102099,298597103
