Date,Open,High,Low,Close,Adj Close,Volume
2022-12-25,1.337328,1.339515,1.302373,1.331385,1.331385,34949213
2022-12-26,1.331436,1.363561,1.331392,1.363271,1.363271,34176307
2022-12-27,1.363113,1.373558,1.332256,1.360686,1.360686,54942822
2022-12-28,1.360765,1.361957,1.299270,1.314288,1.314288,56837110
2022-12-29,1.314214,1.329700,1.268004,1.298506,1.298506,58603771
2022-12-30,1.298498,1.301808,1.245075,1.274435,1.274435,57101220
2022-12-31,1.274710,1.281961,1.247997,1.255453,1.255453,30492788
2023-01-01,1.255637,1.283398,1.240136,1.275819,1.275819,31043495
2023-01-02,1.275880,1.323794,1.258703,1.312673,1.312673,47520245
2023-01-03,1.312766,1.351992,1.306587,1.334069,1.334069,56222458
2023-01-04,1.334081,1.617706,1.330704,1.550987,1.550987,334942587
2023-01-05,1.550766,1.620695,1.512725,1.525699,1.525699,132089984
2023-01-06,1.525617,1.605611,1.485117,1.590835,1.590835,103331314
2023-01-07,1.590748,1.599310,1.546415,1.562665,1.562665,44225449
2023-01-08,1.561969,1.644089,1.519990,1.643288,1.643288,92465052
2023-01-09,1.643255,1.718117,1.630146,1.644205,1.644205,198456723
2023-01-10,1.643694,1.664916,1.599660,1.644030,1.644030,87341484
2023-01-11,1.643845,1.825473,1.558773,1.821183,1.821183,182164053
2023-01-12,1.829757,1.875831,1.727589,1.835756,1.835756,210935189
2023-01-13,1.835752,1.983638,1.783659,1.953927,1.953927,158296706
2023-01-14,1.954409,2.338841,1.951656,2.251005,2.251005,475045566
2023-01-15,2.251758,2.262247,2.110954,2.239063,2.239063,192567718
2023-01-16,2.238965,2.421948,2.084127,2.191765,2.191765,255930355
2023-01-17,2.192056,2.253612,2.153211,2.153942,2.153942,163332038
2023-01-18,2.153506,2.223157,1.973284,1.976976,1.976976,183045028
2023-01-19,1.977011,2.140623,1.974958,2.099341,2.099341,139678683
2023-01-20,2.099260,2.398843,2.050950,2.390320,2.390320,175953169
2023-01-21,2.390827,2.454733,2.321386,2.326406,2.326406,252623520
2023-01-22,2.326435,2.581708,2.325088,2.399461,2.399461,311116144
2023-01-23,2.399338,2.702891,2.398417,2.547062,2.547062,361045209
2023-01-24,2.546019,2.612443,2.332520,2.354709,2.354709,186964661
2023-01-25,2.354105,2.619609,2.286643,2.546798,2.546798,200739515
2023-01-26,2.545919,2.709108,2.503764,2.521551,2.521551,248105377
2023-01-27,2.521499,2.577171,2.402585,2.561844,2.561844,215663040
2023-01-28,2.561312,2.673139,2.444963,2.472502,2.472502,180040630
2023-01-29,2.472500,2.601622,2.439197,2.575402,2.575402,148578496
2023-01-30,2.575579,2.576742,2.260744,2.308077,2.308077,173261954
2023-01-31,2.308483,2.366973,2.279348,2.332313,2.332313,129385476
2023-02-01,2.331653,2.427388,2.176940,2.427388,2.427388,201708268
2023-02-02,2.426226,2.567358,2.417967,2.436898,2.436898,218431778
2023-02-03,2.436423,2.514224,2.410435,2.505852,2.505852,135100236
2023-02-04,2.505831,2.577074,2.437728,2.499374,2.499374,111039314
2023-02-05,2.499399,2.547919,2.339010,2.389651,2.389651,148568756
2023-02-06,2.389739,2.425314,2.291548,2.308445,2.308445,115903780
2023-02-07,2.308066,2.505307,2.307248,2.490000,2.490000,135738895
2023-02-08,2.489856,2.835454,2.474743,2.640572,2.640572,439102256
2023-02-09,2.641037,2.641037,2.230971,2.262133,2.262133,283509044
2023-02-10,2.262335,2.302913,2.209303,2.250797,2.250797,156447976
2023-02-11,2.250664,2.293585,2.207635,2.285586,2.285586,76704602
2023-02-12,2.285792,2.364600,2.202087,2.235636,2.235636,124758010
2023-02-13,2.235580,2.250352,2.100341,2.188041,2.188041,135361256
2023-02-14,2.187753,2.256629,2.133255,2.245233,2.245233,134576020
2023-02-15,2.245437,2.524005,2.209618,2.524005,2.524005,179891415
2023-02-16,2.523088,2.551371,2.304659,2.310428,2.310428,222514770
2023-02-17,2.310655,2.481458,2.302756,2.458992,2.458992,155521003
2023-02-18,2.458939,2.675325,2.458450,2.578166,2.578166,228087134
2023-02-19,2.577761,2.677106,2.528700,2.572404,2.572404,204752613
2023-02-20,2.574122,2.753741,2.495885,2.696373,2.696373,218259496
2023-02-21,2.697375,2.710284,2.504767,2.563483,2.563483,179865958
2023-02-22,2.563383,2.568012,2.404810,2.505550,2.505550,144117072
2023-02-23,2.505805,2.560260,2.421884,2.472190,2.472190,105473729
2023-02-24,2.471873,2.485571,2.263714,2.313460,2.313460,127561833
2023-02-25,2.313486,2.335131,2.209410,2.291039,2.291039,93398219
2023-02-26,2.290389,2.384068,2.272753,2.376010,2.376010,68041850
2023-02-27,2.375942,2.419712,2.292569,2.347197,2.347197,96411387
2023-02-28,2.347202,2.350748,2.219107,2.229068,2.229068,86593930
2023-03-01,2.229074,2.363717,2.208713,2.320924,2.320924,93263430
2023-03-02,2.320910,2.325885,2.212167,2.256337,2.256337,73348364
2023-03-03,2.256935,2.258648,2.050655,2.099014,2.099014,120475361
2023-03-04,2.098966,2.114504,1.992028,2.049504,2.049504,71190982
2023-03-05,2.049644,2.113965,2.021745,2.032286,2.032286,67381532
2023-03-06,2.031907,2.075764,1.988080,2.055216,2.055216,82125022
2023-03-07,2.055417,2.090292,1.948519,2.000477,2.000477,90999462
2023-03-08,2.000795,2.011209,1.830034,1.839490,1.839490,101820924
2023-03-09,1.839843,1.912039,1.740024,1.788555,1.788555,119017347
2023-03-10,1.788498,1.811556,1.678499,1.801646,1.801646,134371369
2023-03-11,1.801505,1.853691,1.714247,1.809252,1.809252,131758334
2023-03-12,1.809132,1.956193,1.780592,1.949002,1.949002,102471192
2023-03-13,1.949269,2.051660,1.902618,2.042299,2.042299,166736609
2023-03-14,2.042401,2.210876,1.988073,2.121476,2.121476,173917335
2023-03-15,2.122410,2.156561,1.878386,1.926483,1.926483,161471815
2023-03-16,1.926980,1.982350,1.905537,1.969264,1.969264,93579090
2023-03-17,1.969328,2.164696,1.943518,2.164696,2.164696,105141549
2023-03-18,2.164767,2.210996,2.076950,2.080994,2.080994,118033392
2023-03-19,2.080986,2.195660,2.080986,2.139902,2.139902,138394263
2023-03-20,2.139108,2.164485,1.982837,1.995489,1.995489,147819846
2023-03-21,1.995856,2.079564,1.936833,2.075113,2.075113,132189804
2023-03-22,2.074444,2.077652,1.891937,1.951644,1.951644,139337490
2023-03-23,1.951135,2.073256,1.926714,2.047607,2.047607,102467994
2023-03-24,2.047362,2.050422,1.939662,1.965802,1.965802,109117101
2023-03-25,1.965881,1.997213,1.899561,1.925053,1.925053,55990320
2023-03-26,1.925120,1.981466,1.917897,1.960756,1.960756,47862481
2023-03-27,1.960757,1.964532,1.818993,1.846497,1.846497,73976080
2023-03-28,1.846495,1.897770,1.813835,1.885977,1.885977,62205756
2023-03-29,1.885884,2.003637,1.880166,2.000603,2.000603,86022382
2023-03-30,2.000730,2.032381,1.908652,1.926225,1.926225,86755881
2023-03-31,1.926598,2.007516,1.893609,1.992150,1.992150,78871887
2023-04-01,1.991674,2.008184,1.962443,1.980423,1.980423,51843441
2023-04-02,1.988632,2.007977,1.896584,1.920489,1.920489,62984807
2023-04-03,1.920533,2.006910,1.865659,1.949150,1.949150,101370281
2023-04-04,1.949066,2.009747,1.918756,1.995279,1.995279,72664804
2023-04-05,1.995356,2.073701,1.990624,2.026716,2.026716,92128056
2023-04-06,2.026828,2.028166,1.950059,1.987000,1.987000,67371236
