Date,Open,High,Low,Close,Adj Close,Volume
2023-01-21,1.644294,1.838395,1.633320,1.736173,1.736173,33898046
2023-01-22,1.736150,2.087852,1.723224,1.945454,1.945454,99174352
2023-01-23,1.945019,2.060743,1.913521,1.998270,1.998270,32815286
2023-01-24,1.998112,2.014692,1.815595,1.835800,1.835800,22655628
2023-01-25,1.836588,2.438406,1.792713,2.241949,2.241949,138449083
2023-01-26,2.242514,2.710227,2.214903,2.587558,2.587558,129503352
2023-01-27,2.587130,2.773085,2.530068,2.560007,2.560007,78283110
2023-01-28,2.559405,2.728794,2.472472,2.501703,2.501703,50963146
2023-01-29,2.501925,2.578329,2.481148,2.532352,2.532352,29126474
2023-01-30,2.531244,2.965943,2.487986,2.813787,2.813787,131995224
2023-01-31,2.814852,3.177758,2.698733,3.159852,3.159852,92822595
2023-02-01,3.157246,4.010962,3.065069,3.884467,3.884467,166101312
2023-02-02,3.879421,3.929644,3.538769,3.627164,3.627164,93135534
2023-02-03,3.625544,3.953215,3.588114,3.742922,3.742922,87090041
2023-02-04,3.744080,4.209203,3.612946,3.873847,3.873847,110700996
2023-02-05,3.873823,4.005990,3.531174,3.613318,3.613318,82643030
2023-02-06,3.612477,3.710481,3.435197,3.481694,3.481694,50700663
2023-02-07,3.483986,4.339203,3.426346,4.143056,4.143056,129131929
2023-02-08,4.143044,4.240266,3.668340,3.729795,3.729795,67880932
2023-02-09,3.731141,3.790880,3.219687,3.295755,3.295755,67932467
2023-02-10,3.295220,3.387352,3.018829,3.137931,3.137931,53058177
2023-02-11,3.136775,3.407748,3.086153,3.395297,3.395297,44268945
2023-02-12,3.396940,3.579541,3.242160,3.345560,3.345560,62244281
2023-02-13,3.344458,3.455879,3.057964,3.265776,3.265776,50073575
2023-02-14,3.265316,3.573942,3.220588,3.492725,3.492725,52711386
2023-02-15,3.491933,4.103159,3.430959,3.929232,3.929232,80091867
2023-02-16,3.931513,4.030640,3.621494,3.638299,3.638299,79568842
2023-02-17,3.636846,4.167747,3.636846,4.001699,4.001699,102567797
2023-02-18,4.002078,4.556014,3.963038,4.432183,4.432183,106491286
2023-02-19,4.429375,4.494061,4.079718,4.159295,4.159295,60084409
2023-02-20,4.161925,4.286776,4.045364,4.178442,4.178442,63343456
2023-02-21,4.179657,4.396105,3.885142,3.938077,3.938077,74195833
2023-02-22,3.938342,3.939177,3.674178,3.829862,3.829862,53125161
2023-02-23,3.829718,4.037308,3.779112,3.912815,3.912815,53702491
2023-02-24,3.913121,3.936524,3.557904,3.636191,3.636191,33828715
2023-02-25,3.635904,3.663053,3.308242,3.427958,3.427958,30644934
2023-02-26,3.426216,3.848527,3.412521,3.778650,3.778650,49736707
2023-02-27,3.778644,3.873273,3.557389,3.643526,3.643526,43558867
2023-02-28,3.643945,3.691816,3.469343,3.518375,3.518375,27835526
