Date,Open,High,Low,Close,Adj Close,Volume
2022-12-25,5.205406,5.235267,5.067563,5.155899,5.155899,49149898
2022-12-26,5.156105,5.201596,5.136283,5.200694,5.200694,47162943
2022-12-27,5.199895,5.308247,5.112337,5.182068,5.182068,43798500
2022-12-28,5.181801,5.194778,4.965205,4.976631,4.976631,61058862
2022-12-29,4.976627,5.121490,4.960370,5.051899,5.051899,51027716
2022-12-30,5.051459,5.102932,4.972756,5.091602,5.091602,42211193
2022-12-31,5.091475,5.193462,5.063203,5.162892,5.162892,37928474
2023-01-01,5.163157,5.262350,5.104718,5.246150,5.246150,31380681
2023-01-02,5.246445,5.441950,5.191227,5.367020,5.367020,71036450
2023-01-03,5.367444,5.414074,5.283716,5.381432,5.381432,51869252
2023-01-04,5.381197,5.587594,5.365476,5.525949,5.525949,78287547
2023-01-05,5.526840,5.551773,5.348071,5.371430,5.371430,51003470
2023-01-06,5.371485,5.525097,5.265338,5.520928,5.520928,52078124
2023-01-07,5.520793,5.545263,5.401283,5.418709,5.418709,38759718
2023-01-08,5.418235,5.572239,5.365514,5.570155,5.570155,42792076
2023-01-09,5.570912,5.951542,5.570912,5.797958,5.797958,97423700
2023-01-10,5.797693,5.865817,5.690426,5.787434,5.787434,74283926
2023-01-11,5.786777,5.938452,5.623875,5.922764,5.922764,75697559
2023-01-12,5.982202,6.174417,5.928539,6.173381,6.173381,137103735
2023-01-13,6.173498,6.334238,6.034905,6.297109,6.297109,103252594
2023-01-14,6.296822,6.936040,6.296822,6.629123,6.629123,238710774
2023-01-15,6.629609,6.663852,6.420849,6.588707,6.588707,110235574
2023-01-16,6.588896,6.731300,6.328422,6.541638,6.541638,128443658
2023-01-17,6.542494,6.624006,6.352216,6.356420,6.356420,103851196
2023-01-18,6.355265,6.793070,6.058796,6.059994,6.059994,219720222
2023-01-19,6.059359,6.180021,6.008156,6.164859,6.164859,80807900
2023-01-20,6.164116,6.679722,6.082543,6.676920,6.676920,91671445
2023-01-21,6.677564,6.809388,6.584815,6.670947,6.670947,131144704
2023-01-22,6.673242,7.082484,6.633133,6.894297,6.894297,175943498
2023-01-23,6.895184,6.963735,6.704872,6.721676,6.721676,161708239
2023-01-24,6.719146,6.817823,6.281984,6.296115,6.296115,122286575
2023-01-25,6.296746,6.685514,6.141200,6.597597,6.597597,120968142
2023-01-26,6.595157,6.771841,6.492957,6.762142,6.762142,117428623
2023-01-27,6.761144,6.864275,6.594677,6.855057,6.855057,103212949
2023-01-28,6.855891,6.903041,6.576546,6.634677,6.634677,78872282
2023-01-29,6.634759,6.979439,6.572040,6.923527,6.923527,101829476
2023-01-30,6.923823,6.996074,6.394145,6.508925,6.508925,126616065
2023-01-31,6.508892,6.642961,6.455914,6.568031,6.568031,82184082
2023-02-01,6.566696,6.902089,6.345340,6.812751,6.812751,130456451
2023-02-02,6.809820,7.500268,6.809820,7.102803,7.102803,256063512
2023-02-03,7.102010,7.264792,6.968627,7.071822,7.071822,194514026
2023-02-04,7.071139,7.330946,7.035992,7.204175,7.204175,115928547
2023-02-05,7.204200,7.312471,6.787405,6.899310,6.899310,141896975
2023-02-06,6.899173,6.960280,6.623240,6.652495,6.652495,122095873
2023-02-07,6.652653,6.997312,6.649284,6.984529,6.984529,118898674
2023-02-08,6.984937,7.042425,6.621959,6.799746,6.799746,139932554
2023-02-09,6.800732,6.857967,6.237930,6.317118,6.317118,239086629
2023-02-10,6.317662,6.464967,6.267419,6.360616,6.360616,116563554
2023-02-11,6.361789,6.494567,6.343647,6.483412,6.483412,63764867
2023-02-12,6.483378,6.546191,6.317210,6.343625,6.343625,59784030
2023-02-13,6.343367,6.371177,6.112155,6.254118,6.254118,115768817
2023-02-14,6.254049,6.581146,6.233801,6.580980,6.580980,94216646
2023-02-15,6.581845,6.935355,6.507764,6.931797,6.931797,109358767
2023-02-16,6.931662,7.003746,6.489465,6.495247,6.495247,154903820
2023-02-17,6.494295,6.817709,6.468970,6.732182,6.732182,133287510
2023-02-18,6.732042,7.116005,6.731058,6.983601,6.983601,176201912
2023-02-19,6.982279,7.553263,6.974838,7.195788,7.195788,258133545
2023-02-20,7.200140,7.359496,7.080849,7.349310,7.349310,134132185
2023-02-21,7.349327,7.421506,6.932186,7.030327,7.030327,132623139
2023-02-22,7.030492,7.042657,6.732193,6.932859,6.932859,109159068
2023-02-23,6.932555,7.041115,6.843788,6.942908,6.942908,85723728
2023-02-24,6.942792,7.036246,6.502792,6.571439,6.571439,110361353
2023-02-25,6.572527,6.613930,6.312692,6.466004,6.466004,74237616
2023-02-26,6.466195,6.644555,6.436370,6.606290,6.606290,52933916
2023-02-27,6.605671,6.638597,6.388793,6.444539,6.444539,71220183
2023-02-28,6.444546,6.613998,6.419496,6.489455,6.489455,79851900
2023-03-01,6.489653,6.850044,6.484105,6.842951,6.842951,95261932
2023-03-02,6.842718,6.884696,6.572900,6.631044,6.631044,65321825
2023-03-03,6.631528,6.637480,6.148409,6.267341,6.267341,98659069
2023-03-04,6.267470,6.291745,6.047226,6.152785,6.152785,52854413
2023-03-05,6.153202,6.371468,6.146369,6.352076,6.352076,71882998
2023-03-06,6.351245,6.429927,6.265269,6.336324,6.336324,73453099
2023-03-07,6.336409,6.459105,6.292845,6.423079,6.423079,95190450
2023-03-08,6.422883,6.482683,6.095549,6.108942,6.108942,90429721
2023-03-09,6.109654,6.191978,5.673422,5.732314,5.732314,92183975
2023-03-10,5.732448,5.732448,5.410124,5.631405,5.631405,121527663
2023-03-11,5.631237,5.780785,5.310243,5.476846,5.476846,146101474
2023-03-12,5.477124,5.930506,5.439531,5.930506,5.930506,102353277
2023-03-13,5.930223,6.217600,5.833111,6.114851,6.114851,165013655
2023-03-14,6.115000,6.585001,6.037164,6.337779,6.337779,163432809
2023-03-15,6.339126,6.442208,5.786504,5.919718,5.919718,113698649
2023-03-16,5.921555,5.992489,5.831763,5.926500,5.926500,75392989
2023-03-17,5.927274,6.422233,5.870763,6.418095,6.418095,100732211
2023-03-18,6.418399,6.617505,6.362788,6.494304,6.494304,113208505
2023-03-19,6.496022,6.686935,6.451580,6.508674,6.508674,101925411
2023-03-20,6.508318,6.581775,6.182399,6.187916,6.187916,100456362
2023-03-21,6.189387,6.490219,6.098851,6.439233,6.439233,97575731
2023-03-22,6.439078,6.448714,5.967670,6.083688,6.083688,103690017
2023-03-23,6.083024,6.432839,6.038472,6.246810,6.246810,80343300
2023-03-24,6.246059,6.284022,5.828022,5.891207,5.891207,95468663
2023-03-25,5.891582,5.911389,5.701266,5.721413,5.721413,55356927
2023-03-26,5.720884,5.865026,5.702496,5.794037,5.794037,47252384
2023-03-27,5.794362,5.810154,5.540873,5.646584,5.646584,60235051
2023-03-28,5.647101,5.873588,5.588533,5.818621,5.818621,47767267
2023-03-29,5.817213,6.027337,5.815241,5.947251,5.947251,68156071
2023-03-30,5.949001,6.052001,5.852824,5.894627,5.894627,78544416
2023-03-31,5.895106,6.112640,5.886565,6.061128,6.061128,73138382
2023-04-01,6.060254,6.184627,6.036453,6.060865,6.060865,54205986
2023-04-02,6.101165,6.113741,5.902433,5.946134,5.946134,50464097
2023-04-03,5.945359,6.076665,5.838934,5.933148,5.933148,72822240
2023-04-04,5.933272,6.195730,5.892648,6.157149,6.157149,67346134
2023-04-05,6.156791,6.332255,6.141585,6.229159,6.229159,67769330
2023-04-06,6.228487,6.230420,6.056349,6.077090,6.077090,59989981
2023-04-07,6.077384,6.097396,5.965008,6.008883,6.008883,61572818
2023-04-08,6.008559,6.048478,5.904488,5.919091,5.919091,66824780
2023-04-09,5.919307,5.954630,5.838173,5.920213,5.920213,66072311
2023-04-10,5.921033,6.040655,5.843872,6.019569,6.019569,75857216
2023-04-11,6.019757,6.084991,5.931939,5.944798,5.944798,75267563
2023-04-12,5.945299,5.997730,5.771061,5.946260,5.946260,81940968
2023-04-13,5.946247,6.239573,5.909643,6.202379,6.202379,92952330
2023-04-14,6.202995,6.453521,6.143916,6.314966,6.314966,145757073
2023-04-15,6.315043,6.359799,6.234737,6.276479,6.276479,81333591
2023-04-16,6.275720,6.445843,6.175023,6.319557,6.319557,95368030
2023-04-17,6.319309,6.320997,6.092597,6.128189,6.128189,82421202
2023-04-18,6.128859,6.356972,6.069883,6.331723,6.331723,101607262
2023-04-19,6.331128,6.461807,5.782085,5.845641,5.845641,147802952
